15:12:42.101138 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31347704:31347876, ack 17461, win 313, length 172
15:12:42.101207 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31347876:31348048, ack 17461, win 313, length 172
15:12:42.101218 IP 198.96.85.21.63664 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 31333136, win 4123, length 0
15:12:42.101224 IP 198.96.85.21.63664 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 31337436, win 4123, length 0
15:12:42.101338 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31348048:31348452, ack 17461, win 313, length 404
15:12:42.101424 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31348452:31348624, ack 17461, win 313, length 172
15:12:42.101483 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31348624:31348796, ack 17461, win 313, length 172
15:12:42.101550 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31348796:31348968, ack 17461, win 313, length 172
15:12:42.101609 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31348968:31349140, ack 17461, win 313, length 172
15:12:42.101667 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31349140:31349312, ack 17461, win 313, length 172
15:12:42.101727 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31349312:31349484, ack 17461, win 313, length 172
15:12:42.101788 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31349484:31349656, ack 17461, win 313, length 172
15:12:42.101844 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31349656:31349828, ack 17461, win 313, length 172
15:12:42.101902 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31349828:31350000, ack 17461, win 313, length 172
15:12:42.101958 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31350000:31350172, ack 17461, win 313, length 172
15:12:42.102016 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31350172:31350344, ack 17461, win 313, length 172
15:12:42.102072 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31350344:31350516, ack 17461, win 313, length 172
15:12:42.102131 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31350516:31350688, ack 17461, win 313, length 172
15:12:42.102220 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31350688:31350860, ack 17461, win 313, length 172
15:12:42.102285 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31350860:31351032, ack 17461, win 313, length 172
15:12:42.102342 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31351032:31351204, ack 17461, win 313, length 172
15:12:42.102400 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31351204:31351376, ack 17461, win 313, length 172
